City    Plus Code    Neighborhood    Place (Local name)    Place (English name)    Tour Language(s)
Xi'An    8P6R97MH+J9    Lintong District, Xi'An, Shaanxi, China    兵马俑（秦始皇陵兵马俑博物馆）    Emperor Qinshihuang's Mausoleum Site Museum    zh|en
Xi'An    8P6R6X97+7M    Yanta District, Xi'An, Shaanxi, China    大雁塔    Giant Wild Goose Pagoda    zh|en
Xi'An    8P6R7W2W+QW    Beilin, Xi'An, Shaanxi, China    西安城墙（永宁门）    Xi'an Wall Yongningmen    zh|en
Xi'An    8P6R6X6F+WV    Yanta District, Xi'An, Shaanxi, China    大唐芙蓉园    Tang Paradise    zh|en
Xi'An    8P6R7XM8+CM    Xincheng, Xi'An, Shaanxi, China    大明宫国家遗址公园    Daming Palace National Heritage Park    zh|en
Xi'An    8P6R7W5W+QR    Bei Lin Qu, Xi'An, Shaanxi, China, 710007    钟楼    Bell Tower of Xi'an    zh|en
Xi'An    8P6R6WQR+2Q    Jianfusi Rd, Beilin, Xi'An, Shaanxi, China, 710064    鼓楼    Drum Tower    zh|en
Xi'An    8P6R7W5V+WX    Lianhu District, Xi'An, Shaanxi, China    回民街    Huimin Street    zh|en
Xi'An    8P6R9667+M6    Lintong District, Xi'An, Shaanxi, China    华清池    Huaqing Pool    zh|en
Xi'An    8P6R6XF4+C4    Yanta District, Xi'An, Shaanxi, China    陕西历史博物馆    Shaanxi History Museum    zh|en
Sydney    4RRH46H4+8M    Sydney, New South Wales, Australia    Queen Victoria Building (QVB)    Queen Victoria Building (QVB)    en
Sydney    4RRH4678+GR    Surry Hills, New South Wales    Surry Hills Cat Crossing    Surry Hills Cat Crossing    en
Sydney    4RRH46X6+38    Sydney, New South Wales    Harbour Bridge    Harbour Bridge    en
Sydney    4RRH454R+MQ    Eveleigh, New South Wales    Carriageworks    Carriageworks    en
Sydney    4RRH475G+9JG    Bondi Beach, New South Wales    Bondi Beach    Bondi Beach    en
Sydney    4RRH46V8+74    Sydney, New South Wales    Sydney Opera House    Sydney Opera House    en
Sydney    4RRH46P8+8J    Sydney, New South Wales    Royal Botanic Garden    Royal Botanic Garden    en
Sydney    4RRH46R5+VC    The Rocks, New South Wales    The Rocks Market    The Rocks Market    en
Sydney    4RRH46H6+9J    Sydney, New South Wales    Hyde Park    Hyde Park    en
Paris    8FW4V75V+8Q    Champ de Mars    Tour Eiffel    Eiffel Tower    fr|en
Paris    8FW4V7JV+4X    Palais Royal    Musée du Louvre    Louvre Museum    fr|en
Paris    8FW4V7MX+HW    Île de la Cité    Cathédrale Notre-Dame de Paris    Notre-Dame Cathedral    fr|en
Paris    8FW4V7GX+2Q    Place Charles de Gaulle    Arc de Triomphe    Arc de Triomphe    fr|en
Paris    8FW4V8QP+8M    Montmartre    Basilique du Sacré-Cœur    Sacré-Cœur Basilica    fr|en
Paris    8FW4V7MX+7C    Île de la Cité    Sainte-Chapelle    Sainte-Chapelle    fr|en
Paris    8FW4V7JV+2H    Left Bank    Musée d'Orsay    Orsay Museum    fr|en
Paris    8FW4V7PW+5R    Latin Quarter    Panthéon    Pantheon    fr|en
Paris    8FW4V7HV+6M    Invalides    Les Invalides    Les Invalides    fr|en
Paris    8FW4V7MR+8P    Saint-Germain-des-Prés    Jardin du Luxembourg    Luxembourg Gardens    fr|en
Rome    8FHJVFRV+46    Celio    Colosseo    Colosseum    it|en
Rome    8FH2VH8H+2Q    Vatican City    Musei Vaticani    Vatican Museums    it|en
Rome    8FH2VH7H+3R    Vatican City    Basilica di San Pietro    St. Peter's Basilica    it|en
Rome    8FHJVFWP+7M    Pigna    Pantheon    Pantheon    it|en
Rome    8FHJVFRV+2C    Celio    Foro Romano    Roman Forum    it|en
Rome    8FHJVFXQ+5J    Trevi    Fontana di Trevi    Trevi Fountain    it|en
Rome    8FHJVFXM+8P    Campo Marzio    Scalinata di Trinità dei Monti    Spanish Steps    it|en
Rome    8FHJVFVM+6H    Parione    Piazza Navona    Piazza Navona    it|en
Rome    8FH2VH8H+3M    Vatican City    Cappella Sistina    Sistine Chapel    it|en
Rome    8FHJVFQV+7R    Celio    Palatino    Palatine Hill    it|en
Prague    9F2P3CGJ+8Q    Hradčany    Pražský hrad    Prague Castle    cs|en
Prague    9F2P3C9J+5M    Staré Město    Karlův most    Charles Bridge    cs|en
Prague    9F2P3CCJ+7P    Staré Město    Staroměstské náměstí    Old Town Square    cs|en
Prague    9F2P3CCJ+6M    Staré Město    Pražský orloj    Astronomical Clock    cs|en
Prague    9F2P3CGJ+9R    Hradčany    Katedrála svatého Víta    St. Vitus Cathedral    cs|en
Prague    9F2P3CFM+8W    Nové Město    Václavské náměstí    Wenceslas Square    cs|en
Prague    9F2P3CCK+5H    Josefov    Židovské muzeum v Praze    Jewish Quarter    cs|en
Prague    9F2P3C7G+6P    Malá Strana    Petřínská rozhledna    Petřín Tower    cs|en
Prague    9F2P3CCK+4J    Josefov    Starý židovský hřbitov    Old Jewish Cemetery    cs|en
Prague    9F2P3C8H+7Q    Malá Strana    Lennonova zeď    Lennon Wall    cs|en
Amsterdam    9F4698XM+5P    Museumplein    Rijksmuseum    Rijksmuseum    nl|en
Amsterdam    9F4698WM+4R    Museumplein    Van Gogh Museum    Van Gogh Museum    nl|en
Amsterdam    9F469C3P+8M    Jordaan    Anne Frank Huis    Anne Frank House    nl|en
Amsterdam    9F469C5P+6H    Centrum    De Dam    Dam Square    nl|en
Amsterdam    9F469C5P+7J    Centrum    Koninklijk Paleis    Royal Palace    nl|en
Amsterdam    9F469C4P+5M    Centrum    Grachtengordel    Canal Belt    nl|en
Amsterdam    9F4698WM+3Q    Museumplein    Stedelijk Museum    Stedelijk Museum    nl|en
Amsterdam    9F469C4P+8R    Centrum    Begijnhof    Begijnhof    nl|en
Amsterdam    9F469C4Q+6P    Centrum    Museum Het Rembrandthuis    Rembrandt House Museum    nl|en
Amsterdam    9F469C4Q+5M    Centrum    Bloemenmarkt    Flower Market    nl|en
Barcelona    8FH48X3M+R7    Eixample    Sagrada Família    Sagrada Familia    es|ca|en
Barcelona    8FH4C2M8+5Q    Gràcia    Park Güell    Park Guell    es|ca|en
Barcelona    8FH48X5P+6M    Eixample    Casa Batlló    Casa Batllo    es|ca|en
Barcelona    8FH48X6P+7R    Eixample    Casa Milà    Casa Mila / La Pedrera    es|ca|en
Barcelona    8FH48W3M+8P    Barri Gòtic    Barri Gòtic    Gothic Quarter    es|ca|en
Barcelona    8FH48W4M+5H    Ciutat Vella    Les Ramblas    Las Ramblas    es|ca|en
